#防具名,部位(頭から順に0～4),スキル1名,スキル1値,スキル2名,スキル2値,lv1スロット数,lv2スロット数,lv3スロット数,火耐性,水耐性,雷耐性,氷耐性,龍耐性
ラヴァヘルムβ,0,hikyouka,1,noutou,1,2,0,0,3,-3,1,-2,2
ラヴァメイルβ,1,hikyouka,2,,,2,0,0,3,-3,1,-2,2
ラヴァアームβ,2,kassou,1,,,0,0,1,3,-3,1,-2,2
ラヴァコイルβ,3,noutou,2,,,1,0,0,3,-3,1,-2,2
ラヴァグリーヴβ,4,sandankyouka,1,,,0,1,0,3,-3,1,-2,2
ギエナヘルムα,0,seirei,2,koorikyouka,1,0,0,0,-1,2,-3,3,0
ギエナメイルα,1,kaihiseinou,2,seirei,1,0,0,0,-1,2,-3,3,0
ギエナアームα,2,hien,1,kaihiseinou,1,0,0,0,-1,2,-3,3,0
ギエナコイルα,3,koorikyouka,2,huuatu,1,0,0,0,-1,2,-3,3,0
ギエナグリーヴα,4,kooritaisei,2,battouwaza,1,0,0,0,-1,2,-3,3,0
ギエナヘルムβ,0,seirei,2,,,1,0,0,-1,2,-3,3,0
ギエナメイルβ,1,kaihiseinou,2,,,1,0,0,-1,2,-3,3,0
ギエナアームβ,2,hien,1,,,0,0,1,-1,2,-3,3,0
ギエナコイルβ,3,koorikyouka,2,,,0,1,0,-1,2,-3,3,0
ギエナグリーヴβ,4,kooritaisei,2,,,0,0,1,-1,2,-3,3,0
ガロンヘルムα,0,ressyoutaisei,2,mikiri,1,0,0,0,2,2,-2,-3,0
ガロンメイルα,1,toisi,2,ressyoutaisei,1,0,0,0,2,2,-2,-3,0
ガロンアームα,2,taijutu,1,mikiri,1,0,0,0,2,2,-2,-3,0
ガロンコイルα,3,mikiri,2,toisi,1,0,0,0,2,2,-2,-3,0
ガロングリーヴα,4,noutou,1,mikiri,1,0,0,0,2,2,-2,-3,0
ガロンヘルムβ,0,ressyoutaisei,2,,,0,1,0,2,2,-2,-3,0
ガロンメイルβ,1,toisi,2,,,1,0,0,2,2,-2,-3,0
ガロンアームβ,2,taijutu,1,,,1,0,0,2,2,-2,-3,0
ガロンコイルβ,3,mikiri,2,,,0,1,0,2,2,-2,-3,0
ガロングリーヴβ,4,noutou,1,,,1,0,0,2,2,-2,-3,0
レウスヘルムα,0,kougeki,2,hikyouka,1,0,0,0,3,1,-2,1,-3
レウスメイルα,1,jakuten,2,hikyouka,1,0,0,0,3,1,-2,1,-3
レウスアームα,2,hitaisei,2,kougeki,1,0,0,0,3,1,-2,1,-3
レウスコイルα,3,hikyouka,2,syuutyuu,1,0,0,0,3,1,-2,1,-3
レウスグリーヴα,4,janputetujin,1,jakuten,1,0,0,0,3,1,-2,1,-3
レウスヘルムβ,0,kougeki,2,,,1,0,0,3,1,-2,1,-3
レウスメイルβ,1,jakuten,2,,,1,0,0,3,1,-2,1,-3
レウスアームβ,2,hitaisei,2,,,1,0,0,3,1,-2,1,-3
レウスコイルβ,3,hikyouka,2,,,0,1,0,3,1,-2,1,-3
レウスグリーヴβ,4,janputetujin,1,,,0,0,1,3,1,-2,1,-3
ディアブロヘルムα,0,battouwaza,2,kajiba,1,0,0,0,3,-2,0,-3,2
ディアブロメイルα,1,ko,2,kajiba,1,0,0,0,3,-2,0,-3,2
ディアブロアームα,2,kajiba,2,taisin,1,0,0,0,3,-2,0,-3,2
ディアブロコイルα,3,ranna-,2,battouwaza,1,0,0,0,3,-2,0,-3,2
ディアブログリーヴα,4,taisin,2,ko,1,0,0,0,3,-2,0,-3,2
ディアブロヘルムβ,0,battouwaza,2,,,0,1,0,3,-2,0,-3,2
ディアブロメイルβ,1,ko,2,,,0,1,0,3,-2,0,-3,2
ディアブロアームβ,2,kajiba,2,,,0,1,0,3,-2,0,-3,2
ディアブロコイルβ,3,ranna-,2,,,0,1,0,3,-2,0,-3,2
ディアブログリーヴβ,4,taisin,2,,,2,0,0,3,-2,0,-3,2
リオソウフルヘルムα,0,tyoukaisin,1,ikaku,2,0,0,0,3,2,2,-3,-4
リオソウルメイルα,1,zokuseikaihou,1,ikaku,1,1,0,0,3,2,2,-3,-4
リオソウルアームα,2,syuutyuu,1,huuatu,1,1,0,0,3,2,2,-3,-4
リオソウルコイルα,3,huuatu,2,kantuukyouka,1,0,0,0,3,2,2,-3,-4
リオソウルグリーヴα,4,syuutyuu,1,kuraima-,1,0,0,0,3,2,2,-3,-4
リオソウルヘルムβ,0,tyoukaisin,1,,,2,0,0,3,2,2,-3,-4
リオソウルメイルβ,1,zokuseikaihou,1,,,0,1,0,3,2,2,-3,-4
リオソウルアームβ,2,syuutyuu,1,,,0,1,0,3,2,2,-3,-4
リオソウルコイルβ,3,huuatu,2,,,0,0,1,3,2,2,-3,-4
リオソウルグリーヴβ,4,syuutyuu,1,,,1,0,0,3,2,2,-3,-4
ディアネロヘルムα,0,syuutyuu,2,,,1,0,0,2,-3,0,-4,2
ディアネロメイルα,1,sakaurami,2,,,1,0,0,2,-3,0,-4,2
ディアネロアームα,2,syuutyuu,1,ranna-,1,0,0,0,2,-3,0,-4,2
ディアネロコイルα,3,sakaurami,1,hakaihou,1,0,0,0,2,-3,0,-4,2
ディアネログリーヴα,4,tuujoudankyouka,1,kajiba,1,1,0,0,2,-3,0,-4,2
ディアネロヘルムβ,0,syuutyuu,1,,,0,0,1,2,-3,0,-4,2
ディアネロメイルβ,1,sakaurami,1,,,1,1,0,2,-3,0,-4,2
ディアネロアームβ,2,syuutyuu,1,,,1,1,0,2,-3,0,-4,2
ディアネロコイルβ,3,sakaurami,1,,,0,1,0,2,-3,0,-4,2
ディアネログリーヴβ,4,tuujoudankyouka,1,,,0,1,0,2,-3,0,-4,2
ガンキンヘルムα,0,kaminaritaisei,2,,,0,0,1,4,-3,1,-2,-2
ガンキンメイルα,1,hakaihou,2,,,1,0,0,4,-3,1,-2,-2
ガンキンアームα,2,ga-doseinou,1,bougyo,1,1,0,0,4,-3,1,-2,-2
ガンキンコイルα,3,hakaihou,1,kaminaritaisei,1,2,0,0,4,-3,1,-2,-2
ガンキングリーヴα,4,ga-doseinou,2,,,1,0,0,4,-3,1,-2,-2
ガンキンヘルムβ,0,kaminaritaisei,1,,,1,0,1,4,-3,1,-2,-2
ガンキンメイルβ,1,hakaihou,1,,,0,0,1,4,-3,1,-2,-2
ガンキンアームβ,2,ga-doseinou,1,,,0,1,0,4,-3,1,-2,-2
ガンキンコイルβ,3,hakaihou,1,,,1,1,0,4,-3,1,-2,-2
ガンキングリーヴβ,4,ga-doseinou,1,,,0,0,1,4,-3,1,-2,-2
バゼルヘルムα,0,mimisen,2,bakuhakyouka,1,0,1,0,3,1,-4,-2,-2
バゼルメイルα,1,ga-doseinou,2,bakuhataisei,2,0,0,0,3,1,-4,-2,-2
バゼルアームα,2,battouwaza,2,mimisen,1,0,0,0,3,1,-4,-2,-2
バゼルコイルα,3,mimisen,2,janputetujin,1,1,0,0,3,1,-4,-2,-2
バゼルグリーヴα,4,boma-,2,battouwaza,1,1,0,0,3,1,-4,-2,-2
バゼルヘルムβ,0,mimisen,2,,,1,0,1,3,1,-4,-2,-2
バゼルメイルβ,1,ga-doseinou,2,,,2,0,0,3,1,-4,-2,-2
バゼルアームβ,2,battouwaza,2,,,0,0,1,3,1,-4,-2,-2
バゼルコイルβ,3,mimisen,2,,,0,0,1,3,1,-4,-2,-2
バゼルグリーヴβ,4,boma-,2,,,0,0,1,3,1,-4,-2,-2
ダマスクヘルムα,0,bougyo,2,toisi,1,1,0,0,4,-2,0,0,0
ダマスクメイルα,1,syuutyuu,2,bougyo,2,1,0,0,4,-2,0,0,0
ダマスクアームα,2,takumi,1,toisi,1,0,0,0,4,-2,0,0,0
ダマスクコイルα,3,syuutyuu,1,bougyodown,2,1,0,0,4,-2,0,0,0
ダマスクグリーヴα,4,bougyo,2,bougyodown,1,1,0,0,4,-2,0,0,0
ダマスクヘルムβ,0,bougyo,2,,,0,0,1,4,-2,0,0,0
ダマスクメイルβ,1,syuutyuu,2,,,3,0,0,4,-2,0,0,0
ダマスクアームβ,2,takumi,1,,,1,0,0,4,-2,0,0,0
ダマスクコイルβ,3,syuutyuu,1,,,3,0,0,4,-2,0,0,0
ダマスクグリーヴβ,4,bougyo,2,,,0,0,1,4,-2,0,0,0
ドーベルヘルムα,0,zokuseikaihou,1,ryuutaisei,1,0,0,0,-2,0,-1,-1,4
ドーベルメイルα,1,kougeki,2,kinoko,1,1,0,0,-2,0,-1,-1,4
ドーベルアームα,2,sutaminakaihuku,2,kinoko,1,0,0,0,-2,0,-1,-1,4
ドーベルコイルα,3,ryuutaisei,2,kougeki,1,0,1,0,-2,0,-1,-1,4
ドーベルグリーヴα,4,kougeki,2,sutaminakaihuku,1,0,0,0,-2,0,-1,-1,4
ドーベルヘルムβ,0,zokuseikaihou,1,,,1,0,0,-2,0,-1,-1,4
ドーベルメイルβ,1,kougeki,2,,,0,0,1,-2,0,-1,-1,4
ドーベルアームβ,2,sutaminakaihuku,1,kinoko,1,2,0,0,-2,0,-1,-1,4
ドーベルコイルβ,3,ryuutaisei,2,,,0,0,1,-2,0,-1,-1,4
ドーベルグリーヴβ,4,kougeki,2,,,1,0,0,-2,0,-1,-1,4
デスギアゲヒルα,0,sityuunikatu,1,mikiri,1,0,1,0,3,2,-2,3,-4
デスギアムスケルα,1,hukutu,1,zokuseikaihou,1,0,0,0,3,2,-2,3,-4
デスギアファオストα,2,syuutyuu,2,ryuukyouka,1,1,0,0,3,2,-2,3,-4
デスギアナーベルα,3,ryuukyouka,2,syuutyuu,1,0,0,0,3,2,-2,3,-4
デスギアフェルゼα,4,takumi,2,ryuukyouka,2,0,0,0,3,2,-2,3,-4
デスギアゲヒルβ,0,sityuunikatu,1,,,0,0,1,3,2,-2,3,-4
デスギアムスケルβ,1,hukutu,1,,,0,0,1,3,2,-2,3,-4
デスギアファオストβ,2,syuutyuu,2,,,2,0,0,3,2,-2,3,-4
デスギアナーベルβ,3,ryuukyouka,2,,,2,0,0,3,2,-2,3,-4
デスギアフェルゼβ,4,takumi,2,,,2,0,0,3,2,-2,3,-4
スカルフェイルα,0,takumi,1,,,0,1,0,-3,-1,-1,-1,2
オーグヘルムα,0,konsin,2,kougeki,1,1,0,0,1,1,-3,1,-3
オーグメイルα,1,sutaminakaihuku,2,tyousensya,1,1,0,0,1,1,-3,1,-3
オーグアームα,2,tyousensya,2,kougeki,1,0,0,0,1,1,-3,1,-3
オーグコイルα,3,kougeki,2,sutaminakaihuku,1,0,0,0,1,1,-3,1,-3
オーググリーヴα,4,konsin,1,tyousensya,1,1,0,0,1,1,-3,1,-3
オーグヘルムβ,0,konsin,2,,,2,0,0,1,1,-3,1,-3
オーグメイルβ,1,sutaminakaihuku,2,,,1,1,0,1,1,-3,1,-3
オーグアームβ,2,tyousensya,2,,,1,0,0,1,1,-3,1,-3
オーグコイルβ,3,kougeki,2,,,0,1,0,1,1,-3,1,-3
オーググリーヴβ,4,konsin,1,,,0,1,0,1,1,-3,1,-3
カイザークラウンα,0,tikaranokaihou,2,,,0,0,0,3,-3,1,-3,1
カイザーメイルα,1,tokusyusyageki,2,tikaranokaihou,1,0,0,0,3,-3,1,-3,1
カイザーアームα,2,jakuten,2,,,1,0,0,3,-3,1,-3,1
カイザーコイルα,3,bakuhakyouka,2,jakuten,1,0,0,0,3,-3,1,-3,1
カイザーグリーヴα,4,tikaranokaihou,2,bakuhakyouka,1,0,0,0,3,-3,1,-3,1
カイザークラウンβ,0,tikaranokaihou,1,,,0,1,0,3,-3,1,-3,1
カイザーメイルβ,1,tokusyusyageki,2,,,2,0,0,3,-3,1,-3,1
カイザーアームβ,2,jakuten,1,,,0,0,1,3,-3,1,-3,1
カイザーコイルβ,3,bakuhakyouka,2,,,0,1,0,3,-3,1,-3,1
カイザーグリーヴβ,4,tikaranokaihou,2,,,1,0,0,3,-3,1,-3,1
クシャナアンクα,0,koorikyouka,2,takumi,1,0,0,0,0,2,-3,4,-2
クシャナディールα,1,takumi,2,syuutyuu,1,0,0,0,0,2,-3,4,-2
クシャナハトゥーα,2,kaihiseinou,2,takumi,1,0,0,0,0,2,-3,4,-2
クシャナアンダα,3,koorikyouka,2,kaihikyori,1,0,0,0,0,2,-3,4,-2
クシャナペイルα,4,kaihikyori,2,takumi,1,0,0,0,0,2,-3,4,-2
クシャナアンクβ,0,koorikyouka,2,,,3,0,0,0,2,-3,4,-2
クシャナディールβ,1,takumi,2,,,0,1,0,0,2,-3,4,-2
クシャナハトゥーβ,2,kaihiseinou,2,,,0,0,1,0,2,-3,4,-2
クシャナアンダβ,3,koorikyouka,2,,,2,0,0,0,2,-3,4,-2
クシャナペイルβ,4,kaihikyori,2,,,0,0,1,0,2,-3,4,-2
ウルズヘルムα,0,hurutya-ji,1,ryuukyouka,2,0,0,0,-4,4,1,-1,-3
ウルズメイルα,1,kaihukusokudo,2,ryuukyouka,1,1,0,0,-4,4,1,-1,-3
ウルズアームα,2,hurutya-ji,1,kaihukusokudo,1,1,0,0,-4,4,1,-1,-3
ウルズコイルα,3,hurutya-ji,1,syoukitaisei,1,1,0,0,-4,4,1,-1,-3
ウルズグリーヴα,4,syoukitaisei,2,ryuukyouka,1,1,0,0,-4,4,1,-1,-3
ウルズヘルムβ,0,hurutya-ji,1,,,1,0,0,-4,4,1,-1,-3
ウルズメイルβ,1,kaihukusokudo,2,,,2,0,0,-4,4,1,-1,-3
ウルズアームβ,2,hurutya-ji,1,,,3,0,0,-4,4,1,-1,-3
ウルズコイルβ,3,hurutya-ji,1,,,2,0,0,-4,4,1,-1,-3
ウルズグリーヴβ,4,syoukitaisei,2,,,2,0,0,-4,4,1,-1,-3
キリンホーンα,0,ranna-,2,seirei,1,0,0,0,-3,-2,4,-2,2
キリンベストα,1,seirei,2,kaminarikyouka,1,0,0,0,-3,-2,4,-2,2
キリンアームロングα,2,kaminarikyouka,2,ranna-,1,0,0,0,-3,-2,4,-2,2
キリンフープα,3,zokuseitaisei,1,zokuseikaihou,1,0,0,0,-3,-2,4,-2,2
キリンレガースα,4,zokuseikaihou,2,kaminaritaisei,2,0,0,0,-3,-2,4,-2,2
キリンホーンβ,0,ranna-,2,,,1,0,0,-3,-2,4,-2,2
キリンベストβ,1,seirei,2,,,1,0,0,-3,-2,4,-2,2
キリンアームロングβ,2,kaminarikyouka,2,,,2,0,0,-3,-2,4,-2,2
キリンフープβ,3,zokuseitaisei,1,,,3,0,0,-3,-2,4,-2,2
キリンレガースβ,4,zokuseikaihou,2,,,2,0,0,-3,-2,4,-2,2
ゼノラージヘッドα,0,hirumikeigen,1,tokusyusyageki,1,1,0,0,-3,2,2,2,-4
ゼノラージハイドα,1,kyoukajizoku,2,zokuseitaisei,1,1,0,0,-3,2,2,2,-4
ゼノラージクロウα,2,hirumikeigen,1,tyoukaisin,1,1,0,0,-3,2,2,2,-4
ゼノラージスパインα,3,zokuseitaisei,2,tokusyusyageki,1,0,1,0,-3,2,2,2,-4
ゼノラージフットα,4,hirumikeigen,1,kyoukajizoku,1,0,1,0,-3,2,2,2,-4
ゼノラージヘッドβ,0,hirumikeigen,1,,,0,1,0,-3,2,2,2,-4
ゼノラージハイドβ,1,kyoukajizoku,2,,,2,0,0,-3,2,2,2,-4
ゼノラージクロウβ,2,hirumikeigen,1,,,0,0,1,-3,2,2,2,-4
ゼノラージスパインβ,3,zokuseitaisei,2,,,1,1,0,-3,2,2,2,-4
ゼノラージフットβ,4,hirumikeigen,1,,,2,0,0,-3,2,2,2,-4
ギルドクロスアクセα,0,seirei,2,kaminaritaisei,2,1,0,0,0,0,0,0,0
ギルドクロススーツα,1,sityuunikatu,1,kooritaisei,2,1,0,0,0,0,0,0,0
ギルドクロスアームα,2,seibi,1,mizutaisei,2,1,0,0,0,0,0,0,0
ギルドクロスコイルα,3,hukutu,1,ryuutaisei,2,1,0,0,0,0,0,0,0
ギルドクロスブーツα,4,hien,1,hitaisei,2,1,0,0,0,0,0,0,0
ギルドクロスアクセβ,0,seirei,2,,,3,0,0,0,0,0,0,0
ギルドクロススーツβ,1,sityuunikatu,1,,,0,0,1,0,0,0,0,0
ギルドクロスアームβ,2,seibi,1,,,0,0,1,0,0,0,0,0
ギルドクロスコイルβ,3,hukutu,1,,,3,0,0,0,0,0,0,0
ギルドクロスブーツβ,4,hien,1,,,0,0,1,0,0,0,0,0
竜王の隻眼α,0,jakuten,2,,,0,0,1,0,0,0,0,0
爆砕の羽飾り,0,boma-,3,,0,0,0,0,0,0,0,0,0
シーカーヘッドα,0,seibi,1,saisyu,1,1,0,0,2,2,2,2,2
シーカーベストα,1,kouikika,2,kuraima-,1,0,0,0,2,2,2,2,2
シーカーグラブα,2,senkou,1,hagitoritetujin,1,1,0,0,2,2,2,2,2
シーカーベルトα,3,kinoko,1,unpan,1,1,0,0,2,2,2,2,2
シーカーパンツα,4,senpuku,2,kassou,1,0,0,0,2,2,2,2,2
シーカーヘッドβ,0,seibi,1,,,0,1,0,2,2,2,2,2
シーカーベストβ,1,kouikika,2,,,1,0,0,2,2,2,2,2
シーカーグラブβ,2,senkou,1,,,0,1,0,2,2,2,2,2
シーカーベルトβ,3,kinoko,1,,,0,1,0,2,2,2,2,2
シーカーパンツβ,4,senpuku,2,,,0,1,0,2,2,2,2,2
シャドウアイα,0,kizetutaisei,1,,,3,0,0,0,0,0,0,0
バンギスヘルムα,0,hakaihou,1,takumi,1,1,0,0,1,1,2,-3,-3
バンギスメイルα,1,hayagui,1,takumi,1,0,1,0,1,1,2,-3,-3
バンギスアームα,2,tikaranokaihou,2,hakaihou,1,0,0,0,1,1,2,-3,-3
バンギスコイルα,3,tikaranokaihou,1,takumi,1,1,0,0,1,1,2,-3,-3
バンギスグリーヴα,4,hayagui,2,hakaihou,1,0,0,0,1,1,2,-3,-3
バンギスヘルムβ,0,hakaihou,1,,0,1,0,1,1,1,2,-3,-3
バンギスメイルβ,1,hayagui,1,,0,0,0,1,1,1,2,-3,-3
バンギスアームβ,2,tikaranokaihou,2,,0,0,1,0,1,1,2,-3,-3
バンギスコイルβ,3,tikaranokaihou,1,,0,1,0,1,1,1,2,-3,-3
バンギスグリーヴβ,4,hayagui,2,,0,2,0,0,1,1,2,-3,-3
ブロッサムヘッドα,0,hani-,1,,0,2,0,0,1,1,4,1,1
ブロッサムベストα,1,noutou,1,,0,2,0,0,1,1,4,1,1
ブロッサムカフスα,2,mahitaisei,1,,0,2,0,0,1,1,4,1,1
ブロッサムコートα,3,sirubemusi,1,,0,2,0,0,1,1,4,1,1
ブロッサムブーツα,4,kaihukusokudo,1,,0,2,0,0,1,1,4,1,1
ユラユラフェイクα,0,kouikika,2,,0,2,0,0,0,4,0,0,4
クルルフェイクα,0,unpan,1,,0,1,0,1,2,0,2,3,2
マラガイラヘルムα,0,zokuseikaihou,1,tyousensya,2,1,0,0,4,-2,3,-4,-2
マラガイラメイルα,1,kizetutaisei,2,tyoukaisin,2,1,0,0,4,-2,3,-4,-2
マラガイラアームα,2,zokuseikaihou,1,kyoukajizoku,2,1,0,0,4,-2,3,-4,-2
マラガイラコイルα,3,zokuseikaihou,1,takumi,2,1,0,0,4,-2,3,-4,-2
マラガイラグリーヴα,4,kouikika,2,hurutya-ji,2,1,0,0,4,-2,3,-4,-2
マラガイラヘルムβ,0,zokuseikaihou,1,tyousensya,1,1,1,0,4,-2,3,-4,-2
マラガイラメイルβ,1,kizetutaisei,2,tyoukaisin,1,1,0,1,4,-2,3,-4,-2
マラガイラアームβ,2,zokuseikaihou,1,kyoukajizoku,1,1,0,1,4,-2,3,-4,-2
マラガイラコイルβ,3,zokuseikaihou,1,takumi,1,1,0,1,4,-2,3,-4,-2
マラガイラグリーヴβ,4,kouikika,2,hurutya-ji,1,1,1,0,4,-2,3,-4,-2
ダンテウィッグα,0,jakuten,1,mikiri,1,1,0,0,3,-3,3,-3,3
ダンテコートα,1,kaihiseinou,1,mikiri,1,0,0,1,3,-3,3,-3,3
ダンテローブα,2,kaihiseinou,1,tokusyusyageki,1,0,0,1,3,-3,3,-3,3
ダンテベルトα,3,kaihiseinou,1,tikaranokaihou,1,0,0,1,3,-3,3,-3,3
ダンテレザーα,4,jakuten,2,,0,2,0,0,3,-3,3,-3,3
威嚇の護石,5,ikaku,3,,
煙復の護石,5,watahousi,3,,
追い風の護石,5,kougeki,1,seirei,1
KOの護石,5,ko,3,,
加護の護石,5,seirei,3,,
火炎の護石,5,hikyouka,3,,
回避の護石,5,kaihiseinou,3,,
覚醒の護石,5,zokuseikaihou,2,,
貫通弾の護石,5,kantuukyouka,1,,
騎手の護石,5,norimeijin,1,janputetujin,1
逆上の護石,5,sakaurami,2,,
強走の護石,5,ranna-,2,,
堅守の護石,5,ga-dokyouka,1,sityuunikatu,1
研磨の護石,5,toisi,3,,
減龍の護石,5,ryuuhuukyouka,1,ryuukyouka,1
攻撃の護石,5,kougeki,3,,
昆虫学の護石,5,kontyuu,3,,
茸好の護石,5,kinoko,2,,
昴揚の護石,5,kyoukajizoku,2,,
渾身の護石,5,konsin,2,,
採集鉄人の護石,5,saisyu,1,hagitoritetujin,1
采配の護石,5,otomosaihai,3,,
散弾の護石,5,sandankyouka,1,,
仕掛け弾の護石,5,koyasi,1,senkou,1
持続の護石,5,aitemukyouka,3,,
疾風の護石,5,kassou,1,hien,1
狩猟生活の護石,5,nikuyaki,1,turi,1
集中の護石,5,syuutyuu,2,,
重撃の護石,5,hakaihou,2,,
小食の護石,5,manzokukan,1,,
植学の護石,5,syokuseigaku,3,,
心頭滅却の護石,5,netudame-jimukou,1,syoukikannkyoutekiou,1
睡撃の護石,5,suiminkyouka,3,,
睡眠瓶の護石,5,suiminbin,1,,
整備の護石,5,seibi,3,,
潜伏の護石,5,senpuku,3,,
全開の護石,5,tikaranokaihou,2,,
早気の護石,5,sutaminakaihuku,2,,
早食の護石,5,hayagui,3,,
早復の護石,5,kaihukusokudo,3,,
装填の護石,5,houdansoutensuu,1,,
底力の護石,5,kajiba,2,,
治癒の護石,5,tairyokukaihuku,3,,
匠の護石,5,takumi,3,,
体術の護石,5,taijutu,3,,
体力の護石,5,tairyokuzoukyou,3,,
耐瘴の護石,5,syoukitaisei,3,,
耐火の護石,5,hitaisei,3,,
耐衝の護石,5,hirumikeigen,2,,
耐震の護石,5,taisin,2,,
耐水の護石,5,mizutaisei,3,,
耐絶の護石,5,kizetutaisei,3,,
耐属の護石,5,zokuseitaisei,3,,
耐毒の護石,5,dokutaisei,3,,
耐爆の護石,5,bakuhataisei,3,,
耐氷の護石,5,kooritaisei,3,,
耐防の護石,5,bougyodown,3,,
耐眠の護石,5,suimintaisei,3,,
耐雷の護石,5,kaminaritaisei,3,,
耐龍の護石,5,ryuutaisei,3,,
耐裂の護石,5,ressyoutaisei,3,,
耐痺の護石,5,mahitaisei,3,,
耐瘴の護石,5,syoukitaisei,2,,
達人の護石,5,mikiri,3,,
奪気の護石,5,sutaminadassyu,3,,
地学の護石,5,tisitugaku,3,,
挑戦の護石,5,tyousensya,2,,
調査達人の護石,5,sirubemusi,1,kenkyusya,1
調達の護石,5,unpan,1,hani-,1
超心の護石,5,tyoukaisin,1,,
跳躍の護石,5,kaihikyori,2,,
追跡の護石,5,tuiseki,1,,
痛撃の護石,5,jakuten,2,,
通常弾の護石,5,tuujoudankyouka,1,,
泥浴びの護石,5,dorotaisei,1,tobikomi,1
鉄壁の護石,5,ga-doseinou,3,,
投石の護石,5,suringa-souten,3,,
特射の護石,5,tokusyusyageki,2,,
毒撃の護石,5,dokukyouka,3,,
毒瓶の護石,5,dokubin,1,,
沼渡りの護石,5,mizubatekiou,3,,
納刀の護石,5,noutou,3,,
笛吹きの護石,5,hue,1,,
破龍の護石,5,ryuukyouka,3,,
爆師の護石,5,boma-,3,,
爆破の護石,5,bakuhakyouka,3,,
爆破瓶の護石,5,bakuhabin,1,,
抜刀の護石,5,battouwaza,2,,
氷結の護石,5,koorikyouka,3,,
不屈の護石,5,hukutu,1,,
風水の護石,5,tansakusya,1,kanti,1
砲撃手の護石,5,hougekisyu,2,,
砲術の護石,5,houjutu,3,,
防御の護石,5,bougyo,3,,
防風の護石,5,huuatu,3,,
痺撃の護石,5,mahikyouka,3,,
耳栓の護石,5,mimisen,3,,
麻痺瓶の護石,5,mahibin,1,,
無傷の護石,5,hurutya-ji,2,,
無食の護石,5,haraheri,3,,
友愛の護石,5,kouikika,3,,
雷光の護石,5,kaminarikyouka,3,,
流水の護石,5,mizukyouka,3,,